GeneID	GeneName	blastula 128-cell	blastula1k-cell	blastuladome	cleavage2-cell	gastrula50-epiboly	gastrula75-epiboly	gastrulashield	hatchinglong-pec	larvalday4	larvalday5	larvalprotrudingmouth	pharyngulaprim-15	pharyngulaprim-25	pharyngulaprim-5	segmentation1-4somites	segmentation14-19somites	segmentation20-25somites	zygote
ENSDARG00000000442	slc39a13	52	68	43	15	21	11	15	7	7	5	7	10	7	10	13	9	12	11
ENSDARG00000000472	cntn2	2	2	2	3	1	1	2	9	5	6	5	4	6	3	0.5	1	2	1
ENSDARG00000000476	pms1	15	12	12	6	7	3	4	2	2	3	2	3	2	3	4	3	3	3
ENSDARG00000000489	upf3b	22	23	28	17	22	18	19	12	11	14	10	17	17	20	24	27	22	20
ENSDARG00000000503	stx1b	0	0	0	0	0	0	0	38	74	68	81	15	24	10	0	2	6	0
ENSDARG00000000516	ankar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.1	0
ENSDARG00000000529	ofd1	22	27	26	33	9	4	3	3	3	2	3	5	4	7	8	8	7	33
ENSDARG00000000540	asnsd1	20	22	34	16	19	14	18	5	4	4	6	7	7	9	17	16	13	22
ENSDARG00000000542	gtf2e1	57	50	46	22	27	28	27	10	6	5	7	13	13	15	25	23	19	21
ENSDARG00000000551	slc1a4	1	1	0.4	1	0.6	1	0.6	22	11	8	19	25	12	24	5	6	15	0.7
ENSDARG00000000563	ttn.1	0	0	0.1	0	0	0.1	0.1	8	12	13	9	8	10	5	0.5	0.7	2	0
ENSDARG00000000567	znf281a	1	1	8	2	20	18	20	15	5	4	6	15	21	13	15	14	15	0.7
ENSDARG00000000568	ell	94	104	39	70	7	8	7	8	9	10	9	9	9	9	9	8	7	69
ENSDARG00000000588	grasp	16	24	8	5	4	3	2	3	3	4	3	3	1	5	7	9	8	3
ENSDARG00000000606	dnah7l	0	0	0	0	0	0	0	0.4	0.3	0.3	0.3	0.4	0.3	0.4	0.1	0.1	0.3	0
ENSDARG00000000631	ptpn4a	27	32	8	6	3	6	3	7	8	8	7	7	8	10	7	8	11	3
ENSDARG00000000651	osgepl1	0	0	0.6	0	2	2	3	2	2	2	1	3	2	4	4	4	3	0
ENSDARG00000000656	psmb9a	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0.5	0.6	0.7	0.7	0
ENSDARG00000000666	creg2	0.3	1	0.7	0.3	0.6	0.7	0.7	5	14	15	11	5	5	6	7	7	9	0
ENSDARG00000000690	sypl2b	2	2	2	3	4	5	3	9	5	5	8	12	10	12	11	7	9	5
ENSDARG00000000729	daxx	82	82	92	99	40	37	44	9	6	5	6	14	15	18	21	22	17	80
ENSDARG00000000730	slc6a13	18	27	12	22	2	2	2	2	8	5	6	2	3	2	3	3	3	31
ENSDARG00000000747	lcmt2	13	11	5	10	3	4	2	0.9	1	1	0.9	1	1	2	5	5	3	6
ENSDARG00000000760	znf511	13	18	9	6	3	6	4	3	5	4	4	4	3	5	6	6	5	9
ENSDARG00000000767	spi1b	0	0	0	0	0	0	0	1	2	2	1	1	0.8	2	0.8	3	2	0
ENSDARG00000000779	scfd1	34	32	25	8	17	13	14	20	19	15	21	22	22	26	24	22	27	10
ENSDARG00000000796	nr4a1	9	3	6	10	0.5	0.1	0.1	12	17	17	23	5	9	2	0.9	0.5	1	7
ENSDARG00000000804	rassf6	0	0	0	0	0	0.5	0	9	8	8	9	9	6	11	4	5	8	0.5
ENSDARG00000000830	telo2	11	9	6	8	4	8	7	5	3	3	3	5	6	7	9	9	8	2
ENSDARG00000000837	snx9a	11	15	10	5	5	0.2	2	3	7	6	5	3	2	2	0.8	1	2	4
ENSDARG00000000853	dstyk	121	95	121	186	68	30	46	24	19	22	20	27	27	22	26	27	26	190
ENSDARG00000000857	mapk14a	67	71	61	39	41	46	38	16	12	11	15	20	19	22	41	35	31	28
ENSDARG00000000861	scrib	45	45	38	48	38	33	29	15	15	14	14	23	23	26	28	20	28	42
ENSDARG00000000887	GTSF1 (1 of many)	376	412	474	671	449	164	354	7	3	2	4	20	7	30	37	28	25	679
ENSDARG00000000906	skap2	5	7	3	2	2	1	1	2	4	4	2	2	2	1	3	2	1	2
ENSDARG00000000935	unk	5	7	4	3	1	1	0.6	2	2	2	2	2	2	2	2	2	2	2
ENSDARG00000000943	dzip1	0.2	0	1	0.2	15	17	21	8	5	5	6	10	10	11	19	15	14	0
ENSDARG00000000966	ncor2	23	22	10	8	1	3	1	13	15	15	15	10	14	10	8	10	10	8
ENSDARG00000001014	myh9b	16	12	11	13	13	9	11	31	30	21	27	44	32	47	10	11	25	8
ENSDARG00000001015	znf384l	1	1	1	0.7	1	2	1	6	6	6	5	4	5	3	3	3	3	0.1
ENSDARG00000001057	bysl	19	18	30	3	57	106	77	37	36	47	35	55	53	83	126	129	123	1
ENSDARG00000001127	slc17a6a	0.3	0.2	0.2	0	0.1	0	0	3	9	9	8	1	2	0.5	0	0	0	0
ENSDARG00000001129	dicer1	18	22	11	5	4	6	2	9	10	9	9	9	11	11	14	12	13	5
ENSDARG00000001154	rimbp2	0	0	0	0	0	0	0	0.6	3	4	2	0.1	0.5	0	0.1	0	0.1	0
ENSDARG00000001162	matr3l1.1	46	48	50	9	55	50	59	17	13	13	13	17	20	19	26	21	22	5
ENSDARG00000001169	hsd17b8	4	6	4	3	2	0	0.9	2	3	2	3	0.9	0.8	0.5	0	0.4	0	2
ENSDARG00000001210	arl14ep	62	61	29	230	45	67	65	32	19	14	23	41	48	49	63	72	60	281
ENSDARG00000001220	mycbp2	5	6	5	3	5	2	3	9	11	11	11	7	8	8	6	6	7	3
ENSDARG00000001234	map4k2	3	0	0.5	0	0	0	0	3	5	5	4	1	1	1	0.3	0.7	2	0
ENSDARG00000001241	puf60b	109	115	124	77	135	138	146	51	33	28	38	66	75	82	121	106	100	52
ENSDARG00000001244	srrm1	88	74	103	82	138	172	165	39	37	42	36	45	52	58	121	90	80	67
ENSDARG00000001249	pcgf1	31	33	11	36	4	5	4	5	4	3	3	4	6	6	9	9	6	35
ENSDARG00000001259	GAS2 (1 of many)	1	2	2	0.9	0.7	0.6	0	2	2	2	3	0.9	1	0.7	2	0.7	2	0
ENSDARG00000001303	psmb8a	0	0	0.4	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000001313	g2e3	51	52	16	16	29	32	41	14	4	3	5	17	19	18	23	23	22	14
ENSDARG00000001354	slc6a13l	0	0	0	0	0	0.2	0	2	4	4	3	1	0.6	1	0.4	0.8	0.9	0
ENSDARG00000001414	mctp2a	0.1	0	0.3	0	5	16	10	2	2	2	2	2	1	2	7	2	2	0
ENSDARG00000001431	actn3b	0.9	1	0.8	0.5	1	1	1	165	165	158	158	133	155	68	2	8	25	0.3
ENSDARG00000001437	slc2a1a	0	0	0	0	0	0	0	3	12	15	6	6	2	19	0	0.8	10	0
ENSDARG00000001442	inppl1b	6	6	6	7	1	0.2	0.5	1	3	2	2	0.9	0.8	0.7	0.3	0.2	0.4	9
ENSDARG00000001447	mier1b	17	15	6	10	3	3	3	5	4	3	4	7	7	6	8	9	8	6
ENSDARG00000001452	adam8a	19	10	4	20	1	3	2	2	2	1	1	3	3	3	10	7	6	18
ENSDARG00000001463	tdh2	0	0	0	0	0	0	0	12	17	21	19	2	7	0.4	0.3	0.2	0.1	0
ENSDARG00000001470	mhc1zea	8	7	7	7	3	1	1	6	6	5	5	7	9	9	10	10	10	4
ENSDARG00000001498	skap1	0	0	0.1	0.2	0	0.6	0	0.2	0.3	0.3	0.2	0.5	0.9	0.8	1	0.4	0.9	0
ENSDARG00000001549	sp3a	23	23	23	11	15	8	10	3	2	2	3	3	4	4	5	4	5	4
ENSDARG00000001557	tomm34	18	14	16	14	10	16	10	8	5	4	7	10	11	15	18	13	14	12
ENSDARG00000001558	kifc1	140	115	101	117	102	111	138	35	15	9	16	54	57	62	82	71	67	100
ENSDARG00000001559	csmd2	0	0	0	0	0	0	0	0.5	2	2	1	0.1	0.2	0.1	0	0	0	0
ENSDARG00000001578	echs1	29	31	40	5	48	34	39	41	56	43	55	44	40	31	22	14	18	2
ENSDARG00000001621	nfyal	12	16	17	12	7	0.9	2	3	3	2	3	3	3	3	2	2	3	7
ENSDARG00000001634	kirrela	0.3	0.4	0.3	0.1	0.1	0.4	0	10	9	8	10	8	10	8	9	12	11	0.1
ENSDARG00000001676	gpm6bb	5	7	6	4	5	2	5	17	21	20	19	23	29	13	2	4	9	2
ENSDARG00000001686	uckl1a	0	0	0.4	0	0	0	0	0.4	3	3	2	0.4	0.7	0.5	0.2	0.4	0.4	0
ENSDARG00000001710	flot1a	9	9	8	16	5	4	4	30	27	27	28	17	22	12	7	8	11	14
ENSDARG00000001712	si:ch211-247n2.1	0	0	0	0	0	0	0	0.7	1	1	0.7	1	0.7	2	0	0	0.7	0
ENSDARG00000001721	oc90	0.2	0.2	0.3	0.4	0.2	0.3	0.2	2	0.1	0.1	0.2	13	5	29	11	26	37	0
ENSDARG00000001729	strn3	27	30	25	25	31	38	33	24	21	18	23	25	27	32	36	33	37	25
ENSDARG00000001733	gulp1a	26	30	15	21	3	0.8	0.8	9	11	10	13	7	8	8	6	6	6	13
ENSDARG00000001734	fkbp8	34	34	16	16	8	8	8	7	12	11	11	7	7	6	5	5	6	18
ENSDARG00000001754	noc2l	40	39	41	11	46	42	42	11	12	15	12	18	18	33	68	59	49	5
ENSDARG00000001760	tnxba	0	0	0	0	0	0	0	0.3	7	5	9	0	0	0	0	0	0	0
ENSDARG00000001767	slc29a2	7	8	1	51	2	3	3	5	3	3	3	6	4	7	4	4	4	50
ENSDARG00000001769	ptpra	27	23	23	27	18	9	11	8	9	9	8	8	9	8	8	5	8	17
ENSDARG00000001771	otol1a	0	0	0	0	0	0	0	0	0.5	0.6	0.2	0	0	0	0	0	0	0
ENSDARG00000001776	stim2b	1	1	1	0.7	0.2	0.6	0.2	0.8	1	0.7	1	0.8	1	1	2	1	0.9	0.3
ENSDARG00000001777	nup155	36	32	38	34	34	23	32	12	9	9	9	24	21	27	29	26	28	35
ENSDARG00000001781	tspan11	0.7	0.3	0.7	0.7	0.7	0	0	2	5	4	3	3	3	4	3	3	4	0
ENSDARG00000001782	prkacba	0	0	0	0	0	5	0.6	3	2	1	2	5	1	6	3	1	3	0
ENSDARG00000001785	irx2a	0.3	0.3	0	0	0	0	0	11	7	7	7	5	7	3	0.2	0.5	2	0
ENSDARG00000001788	atp5o	20	21	14	101	16	26	13	175	200	160	216	148	158	125	67	101	108	180
ENSDARG00000001803	kcnh6a	0	0	0	0.2	0	0	0	0.5	1	2	1	0.9	0.8	1	0.8	2	2	0.6
ENSDARG00000001804	zgc:112148	8	7	5	12	3	1	2	2	5	6	3	3	1	2	3	2	2	14
ENSDARG00000001807	tnfrsf21	0	0	1	0	1	0.2	0.3	3	7	7	6	2	2	2	2	2	2	0
ENSDARG00000001817	CABZ01112877.1	12	13	11	8	4	1	1	0	1	1	2	1	0	1	1	2	1	3
ENSDARG00000001818	c3b.2	0	0	0	0	0.1	0	0	1	4	4	2	0.7	0.4	0.9	0.4	0.5	0.6	0
ENSDARG00000001825	cfap43	0	0	0	0	0	0	0	0.3	0.2	0.2	0.3	0.5	0.6	0.6	0.6	1	0.8	0
ENSDARG00000001829	zgc:112982	33	32	31	5	34	35	38	18	21	24	19	19	21	19	35	28	26	6
ENSDARG00000001835	nalcn	0.2	0.2	0.2	0.3	0.2	0.2	0.2	3	4	5	4	1	2	0.9	0.3	0.4	0.6	0.1
ENSDARG00000001857	aff4	32	32	17	14	9	8	7	5	7	8	6	6	6	6	5	3	5	10
ENSDARG00000001859	dbx1b	0	0	0.6	0	0.5	0.6	0.5	10	2	2	2	20	19	22	7	14	21	0
ENSDARG00000001870	atp1a1a.4	0.5	0.9	0.7	0.2	0.2	0.1	0.1	15	91	133	41	22	8	23	0	2	11	0
ENSDARG00000001873	phgdh	42	48	44	2	40	21	33	32	13	11	21	53	49	56	40	47	61	0.6
ENSDARG00000001879	nav2b	0.8	0.9	9	0.2	10	5	5	3	4	4	3	5	4	7	10	8	8	0.2
ENSDARG00000001880	stx3a	11	13	4	15	1	2	1	4	9	9	8	4	4	4	5	3	5	7
ENSDARG00000001881	cacnb3a	0	0	0	0	0	0	0	0	1	1	0.7	0	0	0	0	0	0	0
ENSDARG00000001882	kbtbd12	0	0	0	0	0	0	0	6	11	12	9	2	4	0.6	0	0	0	0
ENSDARG00000001888	ppm1ba	14	16	14	4	16	17	16	5	6	6	6	6	8	6	11	8	8	1
ENSDARG00000001889	tuba1a	0	0	2	0	6	68	27	342	139	105	215	260	293	232	135	187	217	0
ENSDARG00000001890	stt3b	80	78	75	49	41	19	24	29	26	20	32	37	34	47	44	42	48	30
ENSDARG00000001891	syt14b	0.3	0.6	0.2	0	0	0	0	0.7	3	2	1	0.2	0.4	0	0	0	0	0
ENSDARG00000001897	man2b1	27	26	21	14	13	7	8	10	12	14	8	14	8	19	9	8	11	11
ENSDARG00000001898	manea	7	4	2	11	0.5	1	0.4	2	4	3	4	2	2	2	2	2	2	10
ENSDARG00000001906	si:dkey-247m21.3	0	0	0	0	0	0	0	0.2	0.5	0.5	0.5	0.2	0	0	0	0	0	0
ENSDARG00000001909	VILL	0	0	0	0	0	0	0	2	4	4	3	2	1	0.9	0	0	0	0
ENSDARG00000001910	rorab	0.4	0.4	0.2	0.2	0.1	0.4	0.2	9	20	25	20	4	3	4	1	3	4	0
ENSDARG00000001912	drd4-rs	0.9	2	0.9	0.8	0.2	0	0	0.5	1	1	1	0.5	0.3	0.3	0	0	0	0.4
ENSDARG00000001913	palmda	0	0	0	0	0	0	0	2	3	2	3	3	2	3	0.5	2	3	0
ENSDARG00000001929	pink1	12	10	3	3	1	1	2	1	4	4	2	0.6	1	2	2	1	1	2
ENSDARG00000001930	klhl15	19	19	6	7	3	4	3	5	5	5	5	3	5	3	4	4	3	7
ENSDARG00000001933	prkag2b	0	0	0	0	0	0	0	1	2	3	2	2	2	0.9	0	0	0	0
ENSDARG00000001937	CABZ01043017.1	0	0	0	0	0	0	0	2	2	2	2	2	1	2	0	0	0.7	0
ENSDARG00000001939	b3gat3	18	17	16	5	12	11	9	4	4	3	4	5	7	6	13	9	9	2
ENSDARG00000001940	dnajc1	198	211	226	165	98	44	54	18	17	14	15	20	17	25	44	37	34	78
ENSDARG00000001950	ak1	0	0	0	0	0	0	0.8	683	658	676	733	365	481	149	2	10	35	0
ENSDARG00000001953	pfkfb3	0.4	0.6	1	0	3	1	1	4	9	12	9	1	3	2	3	3	3	0
ENSDARG00000001968	dock5	4	4	3	0.8	2	0.5	1	0.6	2	1	0.9	0.5	0.5	0.6	0.3	0.4	0.5	0.5
ENSDARG00000001969	txlng	30	31	14	33	9	10	8	5	5	5	5	7	6	9	14	13	11	31
ENSDARG00000001971	cthrc1b	0	0	0	0	0	0	0	0	10	7	5	0	0	0	0	0	0	0
ENSDARG00000001975	hsd11b2	0	0	0	0	0	0.3	0	9	18	14	17	2	6	0.8	0.6	0.3	0.4	0.3
ENSDARG00000001976	fkbp16	0.5	1	0.9	0	0.5	0.8	1	5	9	9	11	7	5	11	5	10	9	0
ENSDARG00000001993	myhb	0	0	0.5	0	0.8	0.4	0.5	0.7	40	26	43	0.1	0.3	0.1	0.7	0.3	0.2	0
ENSDARG00000001994	stxbp1a	0	0	0	0	0	0	0	60	104	100	111	28	43	18	0.6	5	11	0
ENSDARG00000001999	adamts18	0	0	0.5	0	7	13	12	3	2	2	3	2	2	2	7	4	3	0
ENSDARG00000002002	lmcd1	4	9	5	0.6	2	0.3	0.8	2	4	3	4	1	2	1	2	2	1	0
ENSDARG00000002006	rxrbb	8	9	3	4	3	4	4	5	6	7	6	4	5	4	5	5	5	2
ENSDARG00000002013	grb10a	5	7	3	4	2	4	2	3	4	5	3	3	3	3	7	4	5	2
ENSDARG00000002016	ppil2	93	83	73	63	40	26	29	13	11	9	11	17	17	21	31	26	25	13
ENSDARG00000002020	rictorb	4	5	2	2	0.7	3	1	2	3	3	2	2	3	2	3	2	2	1
ENSDARG00000002021	pygb	10	10	8	4	8	4	8	11	24	23	16	10	10	9	3	4	7	3
ENSDARG00000002026	qkib	0	0	0	0	0	0	0	4	4	3	3	1	3	1	0	0.1	0.9	0
ENSDARG00000002031	tox4a	52	45	38	19	39	36	39	15	8	7	9	16	18	19	30	25	25	18
ENSDARG00000002037	pfkfb2b	5	4	1	1	0.3	0	0	1	4	4	4	0.9	0.9	1	0	0	0.3	0.2
ENSDARG00000002060	brf2	20	19	6	21	3	4	3	1	0.8	0.5	0.8	2	3	2	3	3	3	30
ENSDARG00000002071	adss	0.4	0.4	0.3	0.3	0.4	0.3	0.7	12	18	11	17	12	12	8	0.4	0.4	3	0.4
ENSDARG00000002077	mnat1	29	32	20	26	11	8	8	5	5	3	6	6	6	8	9	9	9	15
ENSDARG00000002082	csnk2a1	109	106	89	91	130	140	147	59	44	37	55	69	68	86	106	91	95	86
ENSDARG00000002084	lamb2	0.1	0	0	0	0	0	0	17	15	12	17	21	20	17	1	2	6	0
ENSDARG00000002097	si:dkeyp-52c3.7	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0	0	0	0	0	0
ENSDARG00000002127	stam	63	65	28	98	10	16	9	19	15	13	16	16	21	17	14	15	18	102
ENSDARG00000002128	cwf19l1	49	48	54	60	46	27	34	10	7	6	8	14	14	18	33	28	26	58
ENSDARG00000002131	celf2	2	2	0.9	0.6	0.2	0	0.1	18	19	20	17	14	19	10	0.7	3	7	0.3
ENSDARG00000002165	psme1	5	15	5	8	12	3	3	0.7	7	6	3	0	0.3	0.9	6	0.7	1	8
ENSDARG00000002167	cacnb1	6	4	4	6	2	0.9	1	5	7	6	6	5	6	4	2	1	3	3
ENSDARG00000002168	tra2b	52	51	67	71	81	62	79	25	19	20	20	32	32	35	43	50	46	69
ENSDARG00000002172	aplnra	0	0	44	0	69	55	74	8	8	9	8	12	10	15	28	22	15	0
ENSDARG00000002174	itfg2	7	10	5	1	2	3	1	5	4	4	4	6	5	5	4	4	6	1
ENSDARG00000002184	igbp1	51	67	53	14	21	16	14	13	11	9	11	14	17	13	23	23	19	5
ENSDARG00000002190	chmp2bb	68	74	85	113	80	40	56	30	36	30	39	33	28	34	27	25	29	115
ENSDARG00000002192	aspn	0	0	0	0	0	0	0	3	13	9	11	0.6	1	0.4	0	0	0	0
ENSDARG00000002193	rho	0	0	0	0	0	0	0	3	952	938	724	0.5	0.2	0.4	0	0	0	0
ENSDARG00000002194	rhd	0	0	0	0	0	0.2	0	1	0.6	0.7	0.9	2	2	0.7	0.3	0.3	0.3	0
ENSDARG00000002196	bach1b	0	0	0	0	0.8	4	2	3	5	5	4	3	2	4	4	3	4	0
ENSDARG00000002197	pygl	27	24	21	4	9	3	7	9	32	23	29	1	2	2	2	2	2	1
ENSDARG00000002204	hspb11	0	0	0	0	0	0	0	11	19	18	18	10	5	10	0	0.7	7	0
ENSDARG00000002210	stk25a	1	2	1	0.4	1	1	1	2	5	4	5	1	1	1	2	1	2	0
ENSDARG00000002213	invs	3	2	2	2	0.6	2	1	1	1	1	1	2	2	2	3	3	2	2
ENSDARG00000002215	rtca	45	38	31	19	60	117	95	29	8	7	10	44	50	45	69	57	55	20
ENSDARG00000002216	tbx3a	0	0	0	0	0.4	7	3	7	8	8	8	7	6	8	12	9	8	0
ENSDARG00000002217	scocb	1	2	2	0.6	6	19	10	25	25	23	30	17	18	16	23	19	16	0.2
ENSDARG00000002219	si:dkey-103j14.5	0	0	0	0	0	0	0	0.4	4	5	1	0.3	0.1	0.2	0	0	0	0
ENSDARG00000002220	zgc:103692	46	57	38	10	48	55	61	18	13	11	15	21	17	23	34	29	26	7
ENSDARG00000002230	sypb	0	0	0	0	0.6	1	1	18	74	63	100	7	10	3	5	3	3	0
ENSDARG00000002231	PLPP2 (1 of many)	6	8	6	1	2	0	0.6	0.7	3	2	1	1	1	0.8	0	0	0.3	0.3
ENSDARG00000002235	mmp14a	0.2	0.2	1	0.6	1	0.4	1	13	22	18	22	10	11	10	5	7	9	0.5
ENSDARG00000002240	psmb6	1	2	9	0.6	39	80	58	67	41	33	52	79	96	91	105	129	112	0
ENSDARG00000002241	KCNA2 (1 of many)	0	0	0	0	1	1	2	0	1	0.7	0.6	0	0	0	0	0	0	0
ENSDARG00000002249	tbxas1	1	1	0.8	0.5	0.8	0	0.3	2	5	8	3	0.9	0.9	0.7	0.3	0.4	0.7	0.7
ENSDARG00000002255	epb41l3a	4	2	4	1	2	2	1	9	13	11	15	5	7	3	1	1	3	0.4
ENSDARG00000002259	ca15c	0	0	0	0	0	0	0	0.5	1	2	0.2	0	0	0	0	0	0	0
ENSDARG00000002264	mrpl41	5	5	3	0	7	18	10	18	19	12	21	17	22	15	23	24	23	0
ENSDARG00000002267	dcaf13	69	70	79	14	80	55	74	11	10	10	11	15	16	23	49	47	37	26
ENSDARG00000002271	zfand5b	276	287	214	54	138	69	118	32	33	41	40	29	33	28	28	26	29	65
ENSDARG00000002285	mcoln1a	18	16	12	8	11	5	5	5	6	5	7	5	5	5	7	5	6	3
ENSDARG00000002295	si:dkey-21p1.3	0	0	0	0	0	0	0	0.4	1	0.9	0.9	0	0	0	0	0	0	0
ENSDARG00000002298	ankrd22	31	32	15	12	2	2	0.6	2	2	3	4	2	2	2	0.8	0.7	0.7	4
ENSDARG00000002299	arsh	0	0	0	0	0	0.4	0.2	2	3	2	2	2	1	2	0.4	1	1	0
ENSDARG00000002300	p2rx2	0	0	0	0	0	0	0	0.3	2	3	3	0	0	0	0	0.3	0	0
ENSDARG00000002304	gins2	40	46	24	156	9	7	6	10	6	3	5	23	15	24	19	31	26	253
ENSDARG00000002305	me3	94	85	66	131	14	2	4	28	33	28	32	24	27	22	6	11	15	181
ENSDARG00000002311	fabp11b	0	0	0	0	0	0	0	50	25	11	55	4	10	0	0	0	0	0
ENSDARG00000002330	lhx8a	14	17	6	4	0.9	0	0.3	2	2	2	3	0.8	1	0.2	0	0	0	4
ENSDARG00000002332	frmd6	11	13	10	1	8	8	8	5	4	5	4	6	6	7	9	8	6	0.7
ENSDARG00000002333	fam102bb	10	9	3	4	0.6	2	0.5	4	8	9	6	3	5	4	3	2	3	2
ENSDARG00000002336	dlc	0	0.1	0.2	0	24	36	34	13	8	9	9	18	29	16	42	32	21	0
ENSDARG00000002339	sgf29	28	31	13	7	11	15	12	8	7	7	6	9	7	9	12	11	10	5
ENSDARG00000002344	tubb4b	251	269	294	321	173	280	229	595	375	315	519	598	712	578	495	547	619	557
ENSDARG00000002347	cyp11a1	47	56	61	129	34	21	28	0	0	0	0	0.6	0	5	9	3	2	63
ENSDARG00000002353	tagapa	0	0.6	15	0	13	3	9	0.3	0.7	0.8	0.4	0.1	0.3	0.4	0.7	1	0.4	0
ENSDARG00000002355	shpk	2	2	1	1	0.8	2	1	0.6	1	0.7	1	0.2	0.6	0.6	1	0.5	0.6	0
ENSDARG00000002362	ubald1a	6	4	5	20	8	16	11	13	17	19	17	8	9	7	12	9	7	21
ENSDARG00000002365	cers5	36	34	23	102	16	14	12	13	12	12	13	18	11	18	16	14	16	113
ENSDARG00000002369	UBC (1 of many)	194	179	187	137	298	210	364	106	81	89	98	116	121	133	145	116	124	193
ENSDARG00000002377	mief2	44	43	27	28	10	10	9	5	6	5	5	7	6	6	6	4	6	33
ENSDARG00000002385	atm	4	4	0.8	0.9	0.2	0.8	0.3	1	1	1	1	2	2	3	2	2	2	0.8
ENSDARG00000002391	tlcd1	0	0	0	0	0	0	0	0.8	6	6	4	0	0	0	0	0	0	0
ENSDARG00000002394	ugt5d1	0	0	0	0	0	0	0	0	8	3	4	0	0	0	0	0	0	0
ENSDARG00000002396	cry-dash	59	57	36	19	8	10	9	3	6	9	7	4	6	10	9	15	18	11
ENSDARG00000002401	gale	46	49	51	8	40	12	19	14	11	4	12	24	17	27	13	15	23	4
ENSDARG00000002402	ercc3	13	16	12	3	16	15	14	10	8	6	8	11	11	12	14	12	13	2
ENSDARG00000002403	nusap1	139	126	52	44	98	134	163	55	20	15	21	79	71	84	91	87	83	51
ENSDARG00000002405	si:ch211-225b11.1	0.4	0.3	0.6	0	0.1	0	0.1	2	3	3	4	2	3	3	0.8	2	5	0
ENSDARG00000002406	zmynd10	3	3	2	0.5	0.5	0	0	0.6	0.6	0.6	0.6	1	1	1	0.5	1	2	0.5
ENSDARG00000002411	pde4cb	0	0	0	0	0	0	0	0.5	1	1	0.9	0.8	0.7	1	0.7	0.4	0.5	0
ENSDARG00000002445	prdm1a	0	0	0	0	3	39	12	10	4	4	4	8	5	12	25	16	17	0
