Ensembl gene id	gene_name	log2FoldChange NoxO1-CTR/NoxO1-STZ	log2FoldChange NoxO1-CTR/WT-CTR	log2FoldChange NoxO1-p47-CTR/WT-CTR	log2FoldChange NoxO1-STZ/WT-STZ	log2FoldChange NoxO1-p47-STZ/WT-STZ	log2FoldChange WT-CTR/WT-STZ	log2FoldChange p47-STZ/WT-STZ	log2FoldChange NoxO1-p47-STZ/NoxO1-p47-CTR
ENSMUSG00000023919	Cenpq	-0.065800094	0.025719422	0.324180837	0.059698988	0.220641261	-0.034514567	-0.213623993	-0.073102983
ENSMUSG00000023918	Adgrf4	0.927334861	0.925524849	0.927403399	-1.252233205	-0.11333172	-1.246254862	-1.384145908	0.117738989
ENSMUSG00000023915	Tnfrsf21	-0.703479886	0.022146729	-0.154489483	-0.360797434	-0.455137414	-1.093843185	-1.19545993	0.787296469
ENSMUSG00000009621	Vav2	-0.363046411	-0.390851938	-0.051559637	-0.273602332	-0.104283217	-0.248373608	-0.076003146	0.192450285
ENSMUSG00000061780	Cfd	-1.713989052	-0.305247799	0.7830481	-0.672013661	-0.389647224	-2.08177164	-0.293190319	0.906709663
ENSMUSG00000023912	Slc25a27	-1.233453259	-0.47642566	0.190218837	-0.167069839	-0.708672068	-0.940371154	-0.46841609	0.035276028
ENSMUSG00000023911	Flywch2	0.094966353	0.320657809	0.159188144	0.000759635	-0.276360296	-0.228456443	-0.342464835	-0.209192497
ENSMUSG00000023909	Paqr4	0.034263076	0.072404002	-0.080876965	0.018928298	0.029464808	-0.020651286	0.017486227	0.128732349
ENSMUSG00000009614	Sardh	0.041663302	-0.053089887	0.042582867	0.211599341	0.028647797	0.304814646	-0.073515496	-0.320664734
ENSMUSG00000023905	Tnfrsf12a	-0.275895684	-0.292335711	-0.286471244	0.021747653	-0.212446613	0.038236945	-0.415409936	0.033833842
ENSMUSG00000023904	Hcfc1r1	0.162871419	0.122525941	-0.064083184	0.211372832	-0.01267083	0.249982278	-0.143541183	-0.20080638
ENSMUSG00000082296	Gm11450	0.406265062	0.235716796	0.031947208	-0.493681321	-0.686859231	-0.318467476	-0.035470192	-0.397557447
ENSMUSG00000082292	Gm12250	0.788933721	0.127069169	-0.194921851	-1.102291201	0.668497596	-0.346377287	1.451693783	1.156314921
ENSMUSG00000082289	Gm15596	0.017335445	0.143909925	-0.180622183	0.213222672	0.417476537	0.084557794	0.345712907	0.510632079
ENSMUSG00000082286	Pisd-ps1	-0.271343926	-0.025240428	0.014902345	0.38165963	0.134815886	0.130897909	-0.436724312	-0.012392837
ENSMUSG00000082284	H3f3a-ps1	-0.570415792	-0.196208882	0.20840481	0.097181916	0.395324946	-0.298423558	-0.694945576	0.464979128
ENSMUSG00000082280	Gm5847	-0.043666491	-0.126344186	0.137183379	-0.606301928	-0.760352713	-0.526682301	-0.499547494	-0.366622825
ENSMUSG00000094259	Gm14536	-0.396477889	-0.288698919	-0.055682283	0.343101877	0.312991982	0.23124629	-0.513428476	0.135179339
ENSMUSG00000094257	Ap3s1-ps2	-0.441714347	0.314386281	-0.364018554	0.664758095	-0.088980695	-0.134072267	-0.00042952	0.39830106
ENSMUSG00000094256	Rpl21-ps7	-0.816761666	0.443021266	0.02112143	1.517575877	0.972737914	0.184820991	0.265148574	0.734318812
ENSMUSG00000094250	Gm4479	0.621209891	0.314896041	-0.035185117	0.120408493	0.253278635	0.453383151	0.217587283	-0.152803847
ENSMUSG00000082274	Gm14026	-1.334962407	0.060590335	0.805542061	1.206787213	0.293136499	-0.235205985	0.564740139	-0.288116849
ENSMUSG00000082272	Gm11675	-0.405168017	-0.264949713	0.130517436	0.13536269	-0.298382136	-0.007668036	0.10711833	-0.418761416
ENSMUSG00000094249	Gm20091	0.284492324	0.39849513	0.015197017	0.053330976	0.041759955	-0.063275629	-0.377314548	0.087361374
ENSMUSG00000094248	Hist1h2ao	2.473798865	-0.329699603	-0.943612496	-0.836822993	1.46718242	2.156213235	0.328224067	0.274724166
ENSMUSG00000094242	Gm5456	0.248621758	-0.150158689	-1.10985845	-0.171180344	-0.050228128	0.237616113	-0.557126917	0.818733243
ENSMUSG00000082265	Gm15547	0.565842068	0.117504749	-0.682845383	-0.10899345	0.070186887	0.374776117	-0.692022672	0.384006395
ENSMUSG00000082264	Gm12799	0.215738915	0.057587293	-0.552679469	-0.605425598	-0.349881981	-0.447145703	-0.332393788	0.637626328
ENSMUSG00000082260	Gm7429	-0.058842467	0.061391066	-0.048083107	0.150926059	0.104382856	0.028879167	0.054381384	0.1211012
ENSMUSG00000070287	Slc35g2	0.393634032	0.335472096	0.164199789	-0.946200541	-0.822295663	-0.8908675	-0.426271988	-0.099825555
ENSMUSG00000070284	Gmppb	0.130933452	0.107472851	-0.404474004	-0.113143635	0.121780152	-0.090356762	-1.330643743	0.609067492
ENSMUSG00000070283	Ndufaf3	0.104364839	0.073345886	-0.006378721	0.209653009	-0.026544516	0.23815516	-0.052333427	-0.260365604
ENSMUSG00000070282	3000002C10Rik	0.269400859	0.21312098	0.102357039	0.086247989	0.197103684	0.142071153	0.021853537	-0.049168658
ENSMUSG00000094230	Gm21847	-0.431566187	0.188887777	-0.762822639	0.371016115	0.765469857	-0.303184095	-0.298787014	1.758797636
ENSMUSG00000082254	Gm11922	0.477656853	1.125591276	-0.136271827	0.462988732	0.287603498	-0.241183247	0.060628608	0.62844808
ENSMUSG00000070271	Gm13268	-0.14138364	0.031575709	-0.189262657	0.180744768	0.006183874	0.005894022	-0.094351405	0.187206922
ENSMUSG00000082241	Gm15776	-0.083135305	0.151530253	-0.016673691	-0.084108256	-0.351016615	-0.327707938	-0.343415832	-0.010578903
ENSMUSG00000082234	Gm16221	0.203086465	0.618722044	0.191379279	0.242028214	0.129643693	-0.196657193	-0.413075985	0.121842163
ENSMUSG00000082223	Gm15079	0.974937273	0.002658054	0.176230334	-1.149608432	0.009390945	-0.043290958	-0.395467465	-0.125429106
ENSMUSG00000082220	Gm12943	0.062482436	0.291130761	0.016549914	0.411181681	0.556150594	0.179919839	0.582467272	0.355910609
ENSMUSG00000082204	Gm7722	-0.088159531	-0.076024465	-0.413439907	0.057531938	0.187319659	0.044135703	-0.150495539	0.554048277
ENSMUSG00000082202	Gm4910	0.025483294	0.979276455	0.213633686	0.911388818	0.806108745	-0.125525871	0.083751933	0.66641993
ENSMUSG00000059897	Zfp930	0.022295466	0.164988548	0.239628191	-0.096226452	-0.306782042	-0.240381924	-0.102386459	-0.307753476
ENSMUSG00000059895	Ptp4a3	-0.111022649	0.340669918	0.254037494	0.575682602	0.38579113	0.121556263	0.308783027	0.007558293
ENSMUSG00000059890	Ube4a	-0.247586484	-0.162556039	0.06814913	0.095429498	0.048257008	0.009796427	0.130328004	-0.032244234
ENSMUSG00000059883	Irak4	0.090650243	0.039666874	-0.17172769	-0.029234399	0.513860912	0.021934436	0.405663357	0.660050996
ENSMUSG00000105397	Gm43471	0.334164838	0.711997949	0.640607167	-0.206257844	-0.43512326	-0.618604732	-0.096143142	-0.469181979
ENSMUSG00000059878	Zfp422	0.157567411	-0.081324331	-0.114753746	-0.054971297	-0.137739579	0.182934481	0.031972606	-0.207770106
ENSMUSG00000105388	Rpl36a-ps2	-0.049824046	0.167088676	-0.123011342	0.193850716	0.154158929	-0.024863871	0.00457459	0.299626184
ENSMUSG00000059866	Tnip2	0.031145342	-0.158245955	-0.205500934	0.104884247	0.265882571	0.292140468	0.317418414	0.176658235
ENSMUSG00000047888	Tnrc6b	-0.077835205	-0.104253836	0.164636236	0.008651882	-0.056084221	0.034570915	0.446619951	-0.2578041
ENSMUSG00000047884	Klk9	0.667442604	0.377256232	-0.174793752	-0.567017118	0.169175423	-0.246261422	-0.166939238	0.565465425
ENSMUSG00000047881	Rell1	-0.021067479	-0.019160261	-0.062775293	-0.238878801	-0.253332531	-0.242384543	0.1398513	0.049210856
ENSMUSG00000047880	Cxcr5	-0.084920596	-0.020920174	0.036118668	0.037164902	-0.539422576	-0.028677955	-0.079179283	-0.548838688
ENSMUSG00000105378	Gm42515	-0.055717999	0.265757475	0.661172857	0.678383693	0.626895873	0.350330222	0.860549652	-0.386057557
ENSMUSG00000105373	Gm42429	0.642053376	0.234054327	-0.079136739	-0.92056164	-0.828120325	-0.502716697	-0.716930158	-0.245146948
ENSMUSG00000059857	Ntng1	0.265844975	0.243469264	0.764644198	-1.378418599	-1.32460214	-1.359876716	-0.472113375	-0.732182953
ENSMUSG00000059854	Hydin	0.107497227	0.361280403	0.453462566	0.416225753	0.549272059	0.160891549	0.063387897	-0.067426068
ENSMUSG00000059852	Kcng2	0.514554624	-0.114866917	-0.07762185	-0.388216645	0.064788042	0.290777715	-0.170929586	-0.141420839
ENSMUSG00000059851	Suv420h2	0.330498545	-0.276174155	-0.111904407	-0.24361207	-0.001201123	0.362842876	0.003164204	-0.254111725
ENSMUSG00000047879	Usp14	0.242330827	0.1225819	-0.042754149	-0.235536217	-0.031687846	-0.117552761	-0.136034643	0.126432681
ENSMUSG00000047878	A4galt	0.03632435	0.130551395	-0.016457025	0.427400035	0.344195418	0.331640043	0.333979139	0.026764666
ENSMUSG00000047875	Gpr157	0.317164978	0.404798649	-0.420943555	0.186051246	-0.086220716	0.096212383	0.01403537	0.236841692
ENSMUSG00000035898	Uba6	0.093600634	-0.134170247	0.095574526	-0.366774875	-0.398109982	-0.139187136	0.046219306	-0.356895183
ENSMUSG00000035891	Cerk	-0.142481172	-0.172643101	-0.059461102	0.069081518	-0.030502409	0.097573145	0.042039825	-0.070789677
ENSMUSG00000035890	Rnf126	-0.260535057	-0.101250098	-0.052420813	0.213233317	0.090675339	0.05228576	0.069241406	0.08827587
ENSMUSG00000059842	Zfp341	0.402396712	0.072670521	-0.048767063	0.319729763	0.527647033	0.651001656	0.368451403	-0.07464603
ENSMUSG00000047867	Gimap6	0.07157211	0.110995035	0.28592362	-0.151602659	0.013714476	-0.192531647	0.389196903	-0.082157944
ENSMUSG00000047866	Lonp2	0.049191001	0.198926275	0.254886625	0.030126908	-0.084640816	-0.121705891	-0.029416835	-0.220110236
ENSMUSG00000105359	Rpl21-ps10	-0.125391116	0.740807206	0.73211435	0.190210205	-0.337620652	-0.706211233	-0.219631866	-0.374203241
ENSMUSG00000035885	Cox8a	0.254100585	0.278858887	0.108247644	-0.160347721	-0.121303862	-0.187652048	-0.409977562	-0.044457115
ENSMUSG00000059839	Zfp874b	-0.05115335	-0.018346591	-0.14515881	0.008893764	0.218735933	-0.023704882	0.075695897	0.385299183
ENSMUSG00000059835	Rpl13-ps3	-0.138363285	0.003893081	-0.151409402	0.171462805	0.107501691	0.027536695	0.020738079	0.229005186
ENSMUSG00000059834	Sclt1	-0.023634083	-0.2088411	0.014150624	-0.061343371	0.202353116	0.123005617	0.175585079	0.063072484
ENSMUSG00000059830	Gm16380	-1.081469231	0.131606101	0.87503501	1.569961212	0.031145504	0.258413654	0.017273301	-1.065422912
ENSMUSG00000035878	Hykk	0.378923595	-0.189914765	0.161732091	-0.639900983	-0.049384844	-0.06853183	0.2313383	-0.145231642
ENSMUSG00000035877	Zhx3	-0.299612139	-0.160443308	-0.037584706	-0.002840716	0.02149209	-0.142799629	0.006532376	0.199478964
ENSMUSG00000105345	BC030343	-0.520220891	-0.149871011	0.533076417	0.064221373	-0.025166042	-0.3409848	-0.328472883	-0.229954853
ENSMUSG00000105343	Gm43512	-0.895041738	0.101657457	-0.131117361	-0.036848929	-0.479923147	-1.076571812	-0.714648479	0.701905548
ENSMUSG00000035873	Pawr	0.18171464	0.611396321	0.758034703	0.495673184	0.829940884	0.06023796	0.711143073	0.005668431
ENSMUSG00000059824	Dbp	0.58477729	0.777296487	-0.118548722	-0.249944758	0.152687934	-0.457857348	0.147825821	0.696757343
ENSMUSG00000023892	Zfp51	0.216303844	0.192918414	-0.114379483	0.02657224	0.235446125	0.049862683	0.230562688	0.297358648
ENSMUSG00000059820	AU019823	0.25071238	-0.017146914	-0.140399214	-0.341900904	-0.147565657	-0.074280002	-0.030294027	0.064981314
ENSMUSG00000047844	Bex4	0.354615058	-0.038754544	-0.670032905	0.15659809	-0.335885463	0.549409818	-0.12131519	-0.21537745
ENSMUSG00000047843	Bri3	-0.041250388	0.187998207	-0.019100486	0.332743672	0.092027833	0.101733923	0.032697114	0.00717441
ENSMUSG00000047842	Diras2	0.176411324	-0.419974989	-0.574982257	-0.116796608	-0.528939812	0.48687118	-1.052255799	-0.43143336
ENSMUSG00000035868	Zfp983	0.196758743	0.705022809	-0.013363788	0.504018117	0.234530718	-0.018474006	0.63236455	0.259789017
ENSMUSG00000105333	Mir684-2	0.176537285	-0.114654479	-0.113003043	-0.003166325	-0.151508643	0.287588529	0.005226966	-0.327834164
ENSMUSG00000035863	Palm	-0.020428331	-0.060011258	-0.067215413	0.051301893	0.023361373	0.089040315	0.007742548	-0.000604873
ENSMUSG00000023886	Smoc2	0.185089354	-0.245810595	-0.169545478	-0.205971646	0.207214533	0.223550416	0.279218612	0.150937117
ENSMUSG00000023885	Thbs2	0.044255306	0.159428402	0.259290425	0.139151043	0.006880927	0.022424595	0.476224727	-0.276879506
ENSMUSG00000023883	Phf10	-0.151950764	-0.514072091	-0.426772196	-0.03253395	-0.114435513	0.33150339	0.262822059	-0.01989919
ENSMUSG00000059811	Atl2	-0.181809737	0.007401164	-0.096051738	-0.067442561	-0.162649919	-0.258111138	-0.158783949	0.189074224
ENSMUSG00000023882	Zfp54	0.583165005	0.207590482	0.168191576	-0.280861179	-0.014733499	0.099611921	-0.418999672	-0.282987333
ENSMUSG00000059810	Rgs3	-0.2026525	0.09643183	0.114130708	0.076934436	-0.165592525	-0.22371666	-0.19438156	-0.058652488
ENSMUSG00000047832	Cdca4	-0.359502236	-0.316705314	-0.132622864	0.122981868	0.009250629	0.07873091	0.084357378	0.060665735
ENSMUSG00000105327	Gm9409	-0.140990748	0.109031627	-0.183539026	0.263612058	0.12309975	0.011466227	-0.011119864	0.292591077
ENSMUSG00000105322	Gm43751	-0.528532111	-0.569403805	0.563216961	0.283348336	0.318729733	0.322861099	-0.252463198	-0.564882798
ENSMUSG00000035852	Misp	-0.766569421	-0.491548577	0.539553234	-0.187037148	0.088125866	-0.493665442	0.160388994	0.020265147
ENSMUSG00000035851	Ythdc1	-0.102315553	-0.073856793	0.194494078	0.081895064	0.009927981	0.052946479	0.171429393	-0.239954337
ENSMUSG00000009585	Apobec3	-0.041327485	-0.273497259	-0.154010247	0.088671326	0.516835308	0.320404699	0.598721392	0.347994703
ENSMUSG00000023873	1700010I14Rik	-0.005534356	-0.167733317	0.172581651	0.132141416	-0.409030855	0.303375943	-0.260803125	-0.842215686
ENSMUSG00000047824	Pygo2	-0.106847605	-0.148742244	-0.134750299	0.03276544	-0.016165479	0.073217531	-0.083574888	0.043233797
ENSMUSG00000047822	Angptl8	0.988239563	0.926998185	0.688571414	-0.431947275	0.680481442	-0.368310871	-0.495620977	0.346677999
ENSMUSG00000047821	Trim16	-0.016139224	0.040829511	0.244348378	-0.066532765	-0.132167248	-0.125220771	-0.23939086	-0.253328299
ENSMUSG00000035849	Krt222	0.39527349	0.633986081	0.761514972	-1.81404373	-1.053864084	-2.102728889	-2.53846513	0.208405221
ENSMUSG00000035847	Ids	0.023962624	-0.018575443	-0.045907259	-0.205346463	-0.384284749	-0.164521964	-0.312583619	-0.17617095
ENSMUSG00000035845	Alg12	-0.31308885	-0.462872379	-0.150788449	0.253107193	0.225977681	0.400955747	0.24353552	-0.026073531
ENSMUSG00000035842	Ddx11	-0.584109909	-0.841544089	0.151641543	0.131788344	0.671131248	0.392785149	0.294199096	0.12345751
ENSMUSG00000035840	Lysmd3	-0.196840641	-0.079957055	-0.085396482	0.19977577	-0.348622117	0.08128787	0.532057788	-0.339031723
ENSMUSG00000009575	Cbx5	0.037095743	-0.097208228	-0.095448403	-0.01595637	-0.144258871	0.117230929	0.004580318	-0.168175502
ENSMUSG00000023868	Pde10a	-0.713998429	-0.473223253	-0.046671723	-0.155862094	-0.225090797	-0.40366146	-0.563145444	0.220088986
ENSMUSG00000023861	Mpc1	0.29599749	0.213999116	0.138369647	0.035408792	-0.023453718	0.115833679	-0.562278574	-0.280216601
ENSMUSG00000011884	Gltp	0.085890835	0.095106604	-0.075357798	0.028787745	-0.18367154	0.017787931	-0.221085518	-0.128596168
ENSMUSG00000047810	Ccdc88b	-0.139498471	0.068078085	0.891019791	0.129621023	1.086854721	-0.084498518	1.018013179	0.268430533
ENSMUSG00000035835	Plppr3	1.404058025	0.107807522	0.355517877	-3.126973973	-0.627538313	-1.732929724	-1.53567976	0.721718581
ENSMUSG00000105304	Gm43696	0.318934287	-0.097447881	-0.908109296	-0.344521632	0.714147802	0.103952539	-0.48857025	1.48540689
ENSMUSG00000035834	Polr3g	0.958302183	-0.168876828	-0.204219196	-1.30425986	-1.011395254	-0.13795441	-1.16569776	-0.655127659
ENSMUSG00000009569	Mkl2	-0.212506535	-0.122297087	0.152650777	0.025180044	0.012159674	-0.065854029	0.144891343	-0.076783215
ENSMUSG00000105300	Gm30613	-0.461011494	-0.852915977	-1.107918993	0.116025067	0.627112898	0.53515034	0.455483431	1.180787689
ENSMUSG00000009566	Fpgs	0.161742724	-0.346344976	-0.579636036	-0.132739258	-0.430442241	0.375758226	-0.139423336	-0.226067998
ENSMUSG00000009563	Tor2a	0.059455206	0.012925938	-0.128194763	-0.094644616	0.153549287	-0.049855693	0.021949322	0.328801285
ENSMUSG00000023852	Chd1	-0.101684811	-0.245948331	-0.019881756	-0.110222134	0.005651976	0.032647705	0.314077422	-0.00940453
ENSMUSG00000011877	Git1	-0.022573514	-0.073669831	0.041161838	-0.147894703	-0.066883867	-0.098294284	0.090933234	-0.011998679
ENSMUSG00000047804	Akap10	-0.091073551	-0.00935482	0.087682124	-0.079136641	-0.227531726	-0.160897691	0.182222044	-0.156594311
ENSMUSG00000035829	Ppp1r26	0.423667895	-0.118472656	-0.47371765	-0.010976429	-0.259536408	0.535719765	0.138718445	-0.315929697
ENSMUSG00000035828	Pim3	-0.432192776	0.098799822	0.043535357	0.053028194	0.179526788	-0.479932086	0.248133269	0.613134909
ENSMUSG00000035824	Tk2	0.341592608	0.186288026	0.075703157	-0.107237697	0.19766042	0.047196619	0.23235717	0.072535529
ENSMUSG00000009555	Cdk9	-0.094030925	-0.097007981	-0.059982386	0.025646699	0.02325559	0.027233818	-0.056321855	0.053478014
ENSMUSG00000023845	Lnpep	-0.033910948	0.190433773	0.118776868	-0.24322351	-0.145957907	-0.469987467	0.090754172	0.201632909
ENSMUSG00000009549	Srp14	0.127156927	0.114995709	0.055772118	0.048256354	-0.074780506	0.058228422	-0.145271606	-0.191111874
ENSMUSG00000009545	Kcnq1	-0.517930128	0.296020614	0.643239621	0.237981564	0.045023472	-0.594896493	0.001324478	-0.013639507
ENSMUSG00000023832	Acat2	0.032206992	0.064983677	0.010891529	-0.058098637	-0.141964332	-0.092601531	-0.170561919	-0.06259117
ENSMUSG00000023830	Igf2r	0.195515532	0.003815566	-0.038738254	-0.03817437	-0.128353177	0.152479249	-0.133611873	-0.244079029
ENSMUSG00000023829	Slc22a1	-0.986441027	0.177240499	0.069546756	0.64526573	-0.052376786	-0.522322523	-0.182653502	0.396042592
ENSMUSG00000009535	Rnmt	0.055289943	0.018900369	0.006054203	-0.180263024	-0.167820735	-0.145820743	-0.02480235	-0.030206697
ENSMUSG00000023828	Slc22a3	1.425590208	1.131023248	1.029783033	-0.846227016	-0.050703743	-0.543770214	-0.078658326	-0.542125792
ENSMUSG00000023827	Agpat4	-0.249245777	-0.097943079	-0.152537428	-0.024144134	-0.084923007	-0.176812221	-0.217668556	0.242175543
ENSMUSG00000023826	Park2	-0.559251618	-0.547273359	-0.146282044	0.016143607	-0.537035407	0.001495759	-0.175749228	-0.386532241
ENSMUSG00000011837	Snapc2	-0.020642655	0.017463793	-0.093706342	0.191487899	-0.069707727	0.151306908	-0.01239704	-0.129539909
ENSMUSG00000011832	Evi5l	0.429974617	0.140833839	-0.054428085	-0.421813127	-0.120171469	-0.134354983	-0.28553068	0.065890705
ENSMUSG00000011831	Evi5	0.20816814	-0.005181721	-0.175035509	-0.140302719	-0.19969959	0.071974571	-0.038778393	-0.098783171
ENSMUSG00000023809	Rps6ka2	0.314289824	0.189846774	0.108467938	-0.266277857	-0.325921382	-0.142598464	-0.212628222	-0.293198881
ENSMUSG00000023806	Rsph3b	0.025812714	0.082451849	0.032453148	0.125434596	0.004537542	0.067048175	-0.100055928	-0.097167243
ENSMUSG00000023805	Synj2	-0.377402322	-0.040297268	0.067865196	0.214228953	-0.177550804	-0.124242534	-0.065410179	-0.123390945
ENSMUSG00000023800	Tiam2	0.477562074	0.241166883	-0.097900105	0.002175071	-0.021112887	0.239477382	0.466874817	-0.163289933
ENSMUSG00000094191	Rpl31-ps14	-0.11770802	0.072848867	-0.263225538	0.25607214	0.089906212	0.063187653	-0.00699815	0.287426585
ENSMUSG00000094189	Gm6134	0.169158781	0.229946983	0.222048337	0.377799717	0.513885743	0.314959956	0.352565137	-0.026732291
ENSMUSG00000094185	Gm5445	-0.726073109	-0.851952695	-0.865278393	0.375717575	0.265670096	0.502304246	-0.081758565	0.626981919
ENSMUSG00000094178	n-R5s118	-1.305413068	0.239905212	0.180906964	0.933279485	0.703657583	-0.70818177	-1.1176544	1.170734046
ENSMUSG00000082197	Gm8577	-0.361528125	-0.968514767	-0.307005531	0.008978857	0.055117095	0.658507559	0.718618031	-0.264647258
ENSMUSG00000082196	Gm14231	-0.123070669	0.070306476	-0.190318452	0.123362315	0.03446927	-0.072577596	0.037477052	0.294599627
ENSMUSG00000082195	Gm13034	-0.285934042	0.152675323	0.003808874	0.149781342	0.35938228	-0.302531135	0.517814922	0.643074308
ENSMUSG00000082193	Rpl5-ps1	-0.061464629	0.108486118	-0.166594003	0.156887528	-0.075120345	-0.014839402	-0.055652101	0.103981002
ENSMUSG00000082192	Gm14719	-0.310233079	-0.472992464	-0.331708249	0.221359548	0.216912779	0.383472421	0.166545531	0.164519829
ENSMUSG00000082190	Gm13641	0.685082296	-0.566931474	-1.896000723	-0.803573143	-0.775767512	0.545827528	-0.314139055	NA
ENSMUSG00000094162	Ccl19-ps3	0.448777025	-0.301495313	-0.353413175	0.051669931	1.055397251	0.801898734	0.746415113	0.6050466
ENSMUSG00000082185	Gm12428	0.382475551	0.002430983	0.010614817	-0.756876771	-0.586826156	-0.358817185	-0.131576158	-0.236886402
ENSMUSG00000082180	Gm12230	0.084814757	-0.157178114	-0.350615374	-0.087123942	0.00639119	0.153760059	-0.002099778	0.200935721
ENSMUSG00000082179	Gm11407	0.405933093	0.147371974	0.183210224	-0.041349837	0.209328273	0.216691968	-0.003903673	-0.193069781
ENSMUSG00000082178	Gm11307	-0.99211432	-0.242728749	-1.030261495	0.273180681	0.071634328	-0.541189183	-0.926705051	1.580156016
ENSMUSG00000082177	Gm16005	-0.232214132	0.287477433	0.039817191	0.670531508	0.552545918	0.143404515	0.300306025	0.364431776
ENSMUSG00000082176	Gm13163	-0.329738746	-0.320965978	-0.158216049	-0.114251395	0.170833305	-0.125932629	-0.918909189	0.442738182
ENSMUSG00000082171	Rpl27-ps2	-0.046904209	0.207355372	-0.009922631	0.120029842	-0.010761481	-0.136194123	-0.111975488	0.132827458
ENSMUSG00000082165	Gm7091	-0.014448216	0.163146944	-0.228754073	-0.022302739	-0.215200839	-0.201649688	-0.153556682	0.212703876
ENSMUSG00000082163	Gm14276	-0.204104255	0.612907581	0.490737835	0.947809933	0.646036632	0.076322445	0.789972811	0.05978061
ENSMUSG00000082157	Gm12038	-0.181139005	0.189209791	-0.029065468	0.31719222	0.093394038	-0.054983584	0.029680976	0.175047802
ENSMUSG00000082154	Gm16464	-0.40335326	0.392464291	0.210635584	0.871831443	1.84352485	0.005883604	0.217781603	1.553622891
ENSMUSG00000082151	Gm11810	-0.118006694	0.091827498	-0.11079742	0.17913225	0.041670226	-0.033277957	0.016241729	0.183097898
ENSMUSG00000094125	Gm13698	0.006423565	-0.062751453	0.098284931	0.549680302	1.663399226	0.632305615	0.666070109	0.910252589
ENSMUSG00000094122	Rpl31-ps9	-0.045128351	0.089696656	-0.249687164	0.177801905	0.061136779	0.040752112	-0.040580159	0.267621793
