GeneID	GeneName	GeneName_GeneID	zygote	cleavage2-cell	blastula 128-cell	blastula1k-cell	blastuladome	gastrula50-epiboly	gastrulashield	gastrula75-epiboly	segmentation1-4somites	segmentation14-19somites	segmentation20-25somites	pharyngulaprim-5	pharyngulaprim-15	pharyngulaprim-25	hatchinglong-pec	larvalprotrudingmouth	larvalday4	larvalday5
ENSDARG00000000241	slc40a1	slc40a1_ENSDARG00000000241	0.1	0.2	0.2	0.3	0.2	0.4	0.5	0.6	2	5	13	25	25	22	22	21	30	27
ENSDARG00000000324	dcaf8	dcaf8_ENSDARG00000000324	14	16	20	20	10	4	4	4	6	6	6	5	6	9	8	10	11	12
ENSDARG00000000349	si:rp71-1p14.7	si:rp71-1p14.7_ENSDARG00000000349	0	0	0	0	0	0	0	0	0.6	0.9	0.7	2	1	0.7	1	0.7	0	0
ENSDARG00000000369	prkag3b	prkag3b_ENSDARG00000000369	0	0	0	0	0	0	0	0	0.5	2	4	5	5	6	3	5	5	5
ENSDARG00000000370	triob	triob_ENSDARG00000000370	0	0	0.1	0.2	0	0	0	0.3	3	3	3	3	3	4	3	5	6	6
ENSDARG00000000380	pde6a	pde6a_ENSDARG00000000380	0	0	0	0	0.2	0.2	0.2	0.5	0.5	0.2	0	0	0.3	0.3	0.3	4	7	7
ENSDARG00000000394	matr3l1.1	matr3l1.1_ENSDARG00000000394	38	45	66	55	62	87	112	95	81	58	49	42	37	37	31	24	20	20
ENSDARG00000000423	si:ch73-314g15.3	si:ch73-314g15.3_ENSDARG00000000423	2	3	13	21	10	3	1	3	5	4	4	3	2	3	2	3	3	2
ENSDARG00000000442	slc39a13	slc39a13_ENSDARG00000000442	11	15	52	68	43	21	15	11	13	9	12	10	10	7	7	7	7	5
ENSDARG00000000472	cntn2	cntn2_ENSDARG00000000472	1	3	2	2	2	1	2	1	0.5	1	2	3	4	6	9	5	5	6
ENSDARG00000000476	pms1	pms1_ENSDARG00000000476	3	6	15	12	12	7	4	3	4	3	3	3	3	2	2	2	2	3
ENSDARG00000000489	upf3b	upf3b_ENSDARG00000000489	20	17	22	23	28	22	19	18	24	27	22	20	17	17	12	10	11	14
ENSDARG00000000503	stx1b	stx1b_ENSDARG00000000503	0	0	0	0	0	0	0	0	0	2	6	10	15	24	38	81	74	68
ENSDARG00000000516	ankar	ankar_ENSDARG00000000516	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0	0	0	0	0	0
ENSDARG00000000529	ofd1	ofd1_ENSDARG00000000529	33	33	22	27	26	9	3	4	8	8	7	7	5	4	3	3	3	2
ENSDARG00000000540	asnsd1	asnsd1_ENSDARG00000000540	22	16	20	22	34	19	18	14	17	16	13	9	7	7	5	6	4	4
ENSDARG00000000542	gtf2e1	gtf2e1_ENSDARG00000000542	21	22	57	50	46	27	27	28	25	23	19	15	13	13	10	7	6	5
ENSDARG00000000551	slc1a4	slc1a4_ENSDARG00000000551	0.7	1	1	1	0.4	0.6	0.6	1	5	6	15	24	25	12	22	19	11	8
ENSDARG00000000563	ttn.1	ttn.1_ENSDARG00000000563	0	0	0	0	0.1	0	0.1	0.1	0.5	0.7	2	5	8	10	8	9	12	13
ENSDARG00000000567	znf281a	znf281a_ENSDARG00000000567	0.7	2	1	1	8	20	20	18	15	14	15	13	15	21	15	6	5	4
ENSDARG00000000568	ell	ell_ENSDARG00000000568	69	70	94	104	39	7	7	8	9	8	7	9	9	9	8	9	9	10
ENSDARG00000000588	grasp	grasp_ENSDARG00000000588	3	5	16	24	8	4	2	3	7	9	8	5	3	1	3	3	3	4
ENSDARG00000000606	dnah7l	dnah7l_ENSDARG00000000606	0	0	0	0	0	0	0	0	0.1	0.1	0.3	0.4	0.4	0.3	0.4	0.3	0.3	0.3
ENSDARG00000000631	ptpn4a	ptpn4a_ENSDARG00000000631	3	6	27	32	8	3	3	6	7	8	11	10	7	8	7	7	8	8
ENSDARG00000000651	osgepl1	osgepl1_ENSDARG00000000651	0	0	0	0	0.6	2	3	2	4	4	3	4	3	2	2	1	2	2
ENSDARG00000000656	psmb9a	psmb9a_ENSDARG00000000656	0	0.6	0	0	0	0	0	0	0.6	0.7	0.7	0.5	0	0	0	0	0	0
ENSDARG00000000666	creg2	creg2_ENSDARG00000000666	0	0.3	0.3	1	0.7	0.6	0.7	0.7	7	7	9	6	5	5	5	11	14	15
ENSDARG00000000690	sypl2b	sypl2b_ENSDARG00000000690	5	3	2	2	2	4	3	5	11	7	9	12	12	10	9	8	5	5
ENSDARG00000000729	daxx	daxx_ENSDARG00000000729	80	99	82	82	92	40	44	37	21	22	17	18	14	15	9	6	6	5
ENSDARG00000000730	slc6a13	slc6a13_ENSDARG00000000730	31	22	18	27	12	2	2	2	3	3	3	2	2	3	2	6	8	5
ENSDARG00000000747	lcmt2	lcmt2_ENSDARG00000000747	6	10	13	11	5	3	2	4	5	5	3	2	1	1	0.9	0.9	1	1
ENSDARG00000000760	znf511	znf511_ENSDARG00000000760	9	6	13	18	9	3	4	6	6	6	5	5	4	3	3	4	5	4
ENSDARG00000000767	spi1b	spi1b_ENSDARG00000000767	0	0	0	0	0	0	0	0	0.8	3	2	2	1	0.8	1	1	2	2
ENSDARG00000000779	scfd1	scfd1_ENSDARG00000000779	10	8	34	32	25	17	14	13	24	22	27	26	22	22	20	21	19	15
ENSDARG00000000796	nr4a1	nr4a1_ENSDARG00000000796	7	10	9	3	6	0.5	0.1	0.1	0.9	0.5	1	2	5	9	12	23	17	17
ENSDARG00000000804	rassf6	rassf6_ENSDARG00000000804	0.5	0	0	0	0	0	0	0.5	4	5	8	11	9	6	9	9	8	8
ENSDARG00000000830	telo2	telo2_ENSDARG00000000830	2	8	11	9	6	4	7	8	9	9	8	7	5	6	5	3	3	3
ENSDARG00000000837	snx9a	snx9a_ENSDARG00000000837	4	5	11	15	10	5	2	0.2	0.8	1	2	2	3	2	3	5	7	6
ENSDARG00000000853	dstyk	dstyk_ENSDARG00000000853	190	186	121	95	121	68	46	30	26	27	26	22	27	27	24	20	19	22
ENSDARG00000000857	mapk14a	mapk14a_ENSDARG00000000857	28	39	67	71	61	41	38	46	41	35	31	22	20	19	16	15	12	11
ENSDARG00000000861	scrib	scrib_ENSDARG00000000861	42	48	45	45	38	38	29	33	28	20	28	26	23	23	15	14	15	14
ENSDARG00000000887	GTSF1 (1 of many)	GTSF1 (1 of many)_ENSDARG00000000887	679	671	376	412	474	449	354	164	37	28	25	30	20	7	7	4	3	2
ENSDARG00000000906	skap2	skap2_ENSDARG00000000906	2	2	5	7	3	2	1	1	3	2	1	1	2	2	2	2	4	4
ENSDARG00000000935	unk	unk_ENSDARG00000000935	2	3	5	7	4	1	0.6	1	2	2	2	2	2	2	2	2	2	2
ENSDARG00000000943	dzip1	dzip1_ENSDARG00000000943	0	0.2	0.2	0	1	15	21	17	19	15	14	11	10	10	8	6	5	5
ENSDARG00000000966	ncor2	ncor2_ENSDARG00000000966	8	8	23	22	10	1	1	3	8	10	10	10	10	14	13	15	15	15
ENSDARG00000001014	myh9b	myh9b_ENSDARG00000001014	8	13	16	12	11	13	11	9	10	11	25	47	44	32	31	27	30	21
ENSDARG00000001015	znf384l	znf384l_ENSDARG00000001015	0.1	0.7	1	1	1	1	1	2	3	3	3	3	4	5	6	5	6	6
ENSDARG00000001057	bysl	bysl_ENSDARG00000001057	1	3	19	18	30	57	77	106	126	129	123	83	55	53	37	35	36	47
ENSDARG00000001127	slc17a6a	slc17a6a_ENSDARG00000001127	0	0	0.3	0.2	0.2	0.1	0	0	0	0	0	0.5	1	2	3	8	9	9
ENSDARG00000001129	dicer1	dicer1_ENSDARG00000001129	5	5	18	22	11	4	2	6	14	12	13	11	9	11	9	9	10	9
ENSDARG00000001154	rimbp2	rimbp2_ENSDARG00000001154	0	0	0	0	0	0	0	0	0.1	0	0.1	0	0.1	0.5	0.6	2	3	4
ENSDARG00000001162	matr3l1.1	matr3l1.1_ENSDARG00000001162	5	9	46	48	50	55	59	50	26	21	22	19	17	20	17	13	13	13
ENSDARG00000001169	hsd17b8	hsd17b8_ENSDARG00000001169	2	3	4	6	4	2	0.9	0	0	0.4	0	0.5	0.9	0.8	2	3	3	2
ENSDARG00000001210	arl14ep	arl14ep_ENSDARG00000001210	281	230	62	61	29	45	65	67	63	72	60	49	41	48	32	23	19	14
ENSDARG00000001220	mycbp2	mycbp2_ENSDARG00000001220	3	3	5	6	5	5	3	2	6	6	7	8	7	8	9	11	11	11
ENSDARG00000001234	map4k2	map4k2_ENSDARG00000001234	0	0	3	0	0.5	0	0	0	0.3	0.7	2	1	1	1	3	4	5	5
ENSDARG00000001241	puf60b	puf60b_ENSDARG00000001241	52	77	109	115	124	135	146	138	121	106	100	82	66	75	51	38	33	28
ENSDARG00000001244	srrm1	srrm1_ENSDARG00000001244	67	82	88	74	103	138	165	172	121	90	80	58	45	52	39	36	37	42
ENSDARG00000001249	pcgf1	pcgf1_ENSDARG00000001249	35	36	31	33	11	4	4	5	9	9	6	6	4	6	5	3	4	3
ENSDARG00000001259	GAS2 (1 of many)	GAS2 (1 of many)_ENSDARG00000001259	0	0.9	1	2	2	0.7	0	0.6	2	0.7	2	0.7	0.9	1	2	3	2	2
ENSDARG00000001303	psmb8a	psmb8a_ENSDARG00000001303	0	0	0	0	0.4	0.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000001313	g2e3	g2e3_ENSDARG00000001313	14	16	51	52	16	29	41	32	23	23	22	18	17	19	14	5	4	3
ENSDARG00000001354	slc6a13l	slc6a13l_ENSDARG00000001354	0	0	0	0	0	0	0	0.2	0.4	0.8	0.9	1	1	0.6	2	3	4	4
ENSDARG00000001414	mctp2a	mctp2a_ENSDARG00000001414	0	0	0.1	0	0.3	5	10	16	7	2	2	2	2	1	2	2	2	2
ENSDARG00000001431	actn3b	actn3b_ENSDARG00000001431	0.3	0.5	0.9	1	0.8	1	1	1	2	8	25	68	133	155	165	158	165	158
ENSDARG00000001437	slc2a1a	slc2a1a_ENSDARG00000001437	0	0	0	0	0	0	0	0	0	0.8	10	19	6	2	3	6	12	15
ENSDARG00000001442	inppl1b	inppl1b_ENSDARG00000001442	9	7	6	6	6	1	0.5	0.2	0.3	0.2	0.4	0.7	0.9	0.8	1	2	3	2
ENSDARG00000001447	mier1b	mier1b_ENSDARG00000001447	6	10	17	15	6	3	3	3	8	9	8	6	7	7	5	4	4	3
ENSDARG00000001452	adam8a	adam8a_ENSDARG00000001452	18	20	19	10	4	1	2	3	10	7	6	3	3	3	2	1	2	1
ENSDARG00000001463	tdh2	tdh2_ENSDARG00000001463	0	0	0	0	0	0	0	0	0.3	0.2	0.1	0.4	2	7	12	19	17	21
ENSDARG00000001470	mhc1zea	mhc1zea_ENSDARG00000001470	4	7	8	7	7	3	1	1	10	10	10	9	7	9	6	5	6	5
ENSDARG00000001498	skap1	skap1_ENSDARG00000001498	0	0.2	0	0	0.1	0	0	0.6	1	0.4	0.9	0.8	0.5	0.9	0.2	0.2	0.3	0.3
ENSDARG00000001549	sp3a	sp3a_ENSDARG00000001549	4	11	23	23	23	15	10	8	5	4	5	4	3	4	3	3	2	2
ENSDARG00000001557	tomm34	tomm34_ENSDARG00000001557	12	14	18	14	16	10	10	16	18	13	14	15	10	11	8	7	5	4
ENSDARG00000001558	kifc1	kifc1_ENSDARG00000001558	100	117	140	115	101	102	138	111	82	71	67	62	54	57	35	16	15	9
ENSDARG00000001559	csmd2	csmd2_ENSDARG00000001559	0	0	0	0	0	0	0	0	0	0	0	0.1	0.1	0.2	0.5	1	2	2
ENSDARG00000001578	echs1	echs1_ENSDARG00000001578	2	5	29	31	40	48	39	34	22	14	18	31	44	40	41	55	56	43
ENSDARG00000001621	nfyal	nfyal_ENSDARG00000001621	7	12	12	16	17	7	2	0.9	2	2	3	3	3	3	3	3	3	2
ENSDARG00000001634	kirrela	kirrela_ENSDARG00000001634	0.1	0.1	0.3	0.4	0.3	0.1	0	0.4	9	12	11	8	8	10	10	10	9	8
ENSDARG00000001676	gpm6bb	gpm6bb_ENSDARG00000001676	2	4	5	7	6	5	5	2	2	4	9	13	23	29	17	19	21	20
ENSDARG00000001686	uckl1a	uckl1a_ENSDARG00000001686	0	0	0	0	0.4	0	0	0	0.2	0.4	0.4	0.5	0.4	0.7	0.4	2	3	3
ENSDARG00000001710	flot1a	flot1a_ENSDARG00000001710	14	16	9	9	8	5	4	4	7	8	11	12	17	22	30	28	27	27
ENSDARG00000001712	si:ch211-247n2.1	si:ch211-247n2.1_ENSDARG00000001712	0	0	0	0	0	0	0	0	0	0	0.7	2	1	0.7	0.7	0.7	1	1
ENSDARG00000001721	oc90	oc90_ENSDARG00000001721	0	0.4	0.2	0.2	0.3	0.2	0.2	0.3	11	26	37	29	13	5	2	0.2	0.1	0.1
ENSDARG00000001729	strn3	strn3_ENSDARG00000001729	25	25	27	30	25	31	33	38	36	33	37	32	25	27	24	23	21	18
ENSDARG00000001733	gulp1a	gulp1a_ENSDARG00000001733	13	21	26	30	15	3	0.8	0.8	6	6	6	8	7	8	9	13	11	10
ENSDARG00000001734	fkbp8	fkbp8_ENSDARG00000001734	18	16	34	34	16	8	8	8	5	5	6	6	7	7	7	11	12	11
ENSDARG00000001754	noc2l	noc2l_ENSDARG00000001754	5	11	40	39	41	46	42	42	68	59	49	33	18	18	11	12	12	15
ENSDARG00000001760	tnxba	tnxba_ENSDARG00000001760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	9	7	5
ENSDARG00000001767	slc29a2	slc29a2_ENSDARG00000001767	50	51	7	8	1	2	3	3	4	4	4	7	6	4	5	3	3	3
ENSDARG00000001769	ptpra	ptpra_ENSDARG00000001769	17	27	27	23	23	18	11	9	8	5	8	8	8	9	8	8	9	9
ENSDARG00000001771	otol1a	otol1a_ENSDARG00000001771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.5	0.6
ENSDARG00000001776	stim2b	stim2b_ENSDARG00000001776	0.3	0.7	1	1	1	0.2	0.2	0.6	2	1	0.9	1	0.8	1	0.8	1	1	0.7
ENSDARG00000001777	nup155	nup155_ENSDARG00000001777	35	34	36	32	38	34	32	23	29	26	28	27	24	21	12	9	9	9
ENSDARG00000001781	tspan11	tspan11_ENSDARG00000001781	0	0.7	0.7	0.3	0.7	0.7	0	0	3	3	4	4	3	3	2	3	5	4
ENSDARG00000001782	prkacba	prkacba_ENSDARG00000001782	0	0	0	0	0	0	0.6	5	3	1	3	6	5	1	3	2	2	1
ENSDARG00000001785	irx2a	irx2a_ENSDARG00000001785	0	0	0.3	0.3	0	0	0	0	0.2	0.5	2	3	5	7	11	7	7	7
ENSDARG00000001788	atp5o	atp5o_ENSDARG00000001788	180	101	20	21	14	16	13	26	67	101	108	125	148	158	175	216	200	160
ENSDARG00000001803	kcnh6a	kcnh6a_ENSDARG00000001803	0.6	0.2	0	0	0	0	0	0	0.8	2	2	1	0.9	0.8	0.5	1	1	2
ENSDARG00000001804	zgc:112148	zgc:112148_ENSDARG00000001804	14	12	8	7	5	3	2	1	3	2	2	2	3	1	2	3	5	6
ENSDARG00000001807	tnfrsf21	tnfrsf21_ENSDARG00000001807	0	0	0	0	1	1	0.3	0.2	2	2	2	2	2	2	3	6	7	7
ENSDARG00000001817	CABZ01112877.1	CABZ01112877.1_ENSDARG00000001817	3	8	12	13	11	4	1	1	1	2	1	1	1	0	0	2	1	1
ENSDARG00000001818	c3b.2	c3b.2_ENSDARG00000001818	0	0	0	0	0	0.1	0	0	0.4	0.5	0.6	0.9	0.7	0.4	1	2	4	4
ENSDARG00000001825	cfap43	cfap43_ENSDARG00000001825	0	0	0	0	0	0	0	0	0.6	1	0.8	0.6	0.5	0.6	0.3	0.3	0.2	0.2
ENSDARG00000001829	zgc:112982	zgc:112982_ENSDARG00000001829	6	5	33	32	31	34	38	35	35	28	26	19	19	21	18	19	21	24
ENSDARG00000001835	nalcn	nalcn_ENSDARG00000001835	0.1	0.3	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.4	0.6	0.9	1	2	3	4	4	5
ENSDARG00000001857	aff4	aff4_ENSDARG00000001857	10	14	32	32	17	9	7	8	5	3	5	6	6	6	5	6	7	8
ENSDARG00000001859	dbx1b	dbx1b_ENSDARG00000001859	0	0	0	0	0.6	0.5	0.5	0.6	7	14	21	22	20	19	10	2	2	2
ENSDARG00000001870	atp1a1a.4	atp1a1a.4_ENSDARG00000001870	0	0.2	0.5	0.9	0.7	0.2	0.1	0.1	0	2	11	23	22	8	15	41	91	133
ENSDARG00000001873	phgdh	phgdh_ENSDARG00000001873	0.6	2	42	48	44	40	33	21	40	47	61	56	53	49	32	21	13	11
ENSDARG00000001879	nav2b	nav2b_ENSDARG00000001879	0.2	0.2	0.8	0.9	9	10	5	5	10	8	8	7	5	4	3	3	4	4
ENSDARG00000001880	stx3a	stx3a_ENSDARG00000001880	7	15	11	13	4	1	1	2	5	3	5	4	4	4	4	8	9	9
ENSDARG00000001881	cacnb3a	cacnb3a_ENSDARG00000001881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7	1	1
ENSDARG00000001882	kbtbd12	kbtbd12_ENSDARG00000001882	0	0	0	0	0	0	0	0	0	0	0	0.6	2	4	6	9	11	12
ENSDARG00000001888	ppm1ba	ppm1ba_ENSDARG00000001888	1	4	14	16	14	16	16	17	11	8	8	6	6	8	5	6	6	6
ENSDARG00000001889	tuba1a	tuba1a_ENSDARG00000001889	0	0	0	0	2	6	27	68	135	187	217	232	260	293	342	215	139	105
ENSDARG00000001890	stt3b	stt3b_ENSDARG00000001890	30	49	80	78	75	41	24	19	44	42	48	47	37	34	29	32	26	20
ENSDARG00000001891	syt14b	syt14b_ENSDARG00000001891	0	0	0.3	0.6	0.2	0	0	0	0	0	0	0	0.2	0.4	0.7	1	3	2
ENSDARG00000001897	man2b1	man2b1_ENSDARG00000001897	11	14	27	26	21	13	8	7	9	8	11	19	14	8	10	8	12	14
ENSDARG00000001898	manea	manea_ENSDARG00000001898	10	11	7	4	2	0.5	0.4	1	2	2	2	2	2	2	2	4	4	3
ENSDARG00000001906	si:dkey-247m21.3	si:dkey-247m21.3_ENSDARG00000001906	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0.2	0.5	0.5	0.5
ENSDARG00000001909	VILL	VILL_ENSDARG00000001909	0	0	0	0	0	0	0	0	0	0	0	0.9	2	1	2	3	4	4
ENSDARG00000001910	rorab	rorab_ENSDARG00000001910	0	0.2	0.4	0.4	0.2	0.1	0.2	0.4	1	3	4	4	4	3	9	20	20	25
ENSDARG00000001912	drd4-rs	drd4-rs_ENSDARG00000001912	0.4	0.8	0.9	2	0.9	0.2	0	0	0	0	0	0.3	0.5	0.3	0.5	1	1	1
ENSDARG00000001913	palmda	palmda_ENSDARG00000001913	0	0	0	0	0	0	0	0	0.5	2	3	3	3	2	2	3	3	2
ENSDARG00000001929	pink1	pink1_ENSDARG00000001929	2	3	12	10	3	1	2	1	2	1	1	2	0.6	1	1	2	4	4
ENSDARG00000001930	klhl15	klhl15_ENSDARG00000001930	7	7	19	19	6	3	3	4	4	4	3	3	3	5	5	5	5	5
ENSDARG00000001933	prkag2b	prkag2b_ENSDARG00000001933	0	0	0	0	0	0	0	0	0	0	0	0.9	2	2	1	2	2	3
ENSDARG00000001937	CABZ01043017.1	CABZ01043017.1_ENSDARG00000001937	0	0	0	0	0	0	0	0	0	0	0.7	2	2	1	2	2	2	2
ENSDARG00000001939	b3gat3	b3gat3_ENSDARG00000001939	2	5	18	17	16	12	9	11	13	9	9	6	5	7	4	4	4	3
ENSDARG00000001940	dnajc1	dnajc1_ENSDARG00000001940	78	165	198	211	226	98	54	44	44	37	34	25	20	17	18	15	17	14
ENSDARG00000001950	ak1	ak1_ENSDARG00000001950	0	0	0	0	0	0	0.8	0	2	10	35	149	365	481	683	733	658	676
ENSDARG00000001953	pfkfb3	pfkfb3_ENSDARG00000001953	0	0	0.4	0.6	1	3	1	1	3	3	3	2	1	3	4	9	9	12
ENSDARG00000001968	dock5	dock5_ENSDARG00000001968	0.5	0.8	4	4	3	2	1	0.5	0.3	0.4	0.5	0.6	0.5	0.5	0.6	0.9	2	1
ENSDARG00000001969	txlng	txlng_ENSDARG00000001969	31	33	30	31	14	9	8	10	14	13	11	9	7	6	5	5	5	5
ENSDARG00000001971	cthrc1b	cthrc1b_ENSDARG00000001971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	7
ENSDARG00000001975	hsd11b2	hsd11b2_ENSDARG00000001975	0.3	0	0	0	0	0	0	0.3	0.6	0.3	0.4	0.8	2	6	9	17	18	14
ENSDARG00000001976	fkbp16	fkbp16_ENSDARG00000001976	0	0	0.5	1	0.9	0.5	1	0.8	5	10	9	11	7	5	5	11	9	9
ENSDARG00000001993	myhb	myhb_ENSDARG00000001993	0	0	0	0	0.5	0.8	0.5	0.4	0.7	0.3	0.2	0.1	0.1	0.3	0.7	43	40	26
ENSDARG00000001994	stxbp1a	stxbp1a_ENSDARG00000001994	0	0	0	0	0	0	0	0	0.6	5	11	18	28	43	60	111	104	100
ENSDARG00000001999	adamts18	adamts18_ENSDARG00000001999	0	0	0	0	0.5	7	12	13	7	4	3	2	2	2	3	3	2	2
ENSDARG00000002002	lmcd1	lmcd1_ENSDARG00000002002	0	0.6	4	9	5	2	0.8	0.3	2	2	1	1	1	2	2	4	4	3
ENSDARG00000002006	rxrbb	rxrbb_ENSDARG00000002006	2	4	8	9	3	3	4	4	5	5	5	4	4	5	5	6	6	7
ENSDARG00000002013	grb10a	grb10a_ENSDARG00000002013	2	4	5	7	3	2	2	4	7	4	5	3	3	3	3	3	4	5
ENSDARG00000002016	ppil2	ppil2_ENSDARG00000002016	13	63	93	83	73	40	29	26	31	26	25	21	17	17	13	11	11	9
ENSDARG00000002020	rictorb	rictorb_ENSDARG00000002020	1	2	4	5	2	0.7	1	3	3	2	2	2	2	3	2	2	3	3
ENSDARG00000002021	pygb	pygb_ENSDARG00000002021	3	4	10	10	8	8	8	4	3	4	7	9	10	10	11	16	24	23
ENSDARG00000002026	qkib	qkib_ENSDARG00000002026	0	0	0	0	0	0	0	0	0	0.1	0.9	1	1	3	4	3	4	3
ENSDARG00000002031	tox4a	tox4a_ENSDARG00000002031	18	19	52	45	38	39	39	36	30	25	25	19	16	18	15	9	8	7
ENSDARG00000002037	pfkfb2b	pfkfb2b_ENSDARG00000002037	0.2	1	5	4	1	0.3	0	0	0	0	0.3	1	0.9	0.9	1	4	4	4
ENSDARG00000002060	brf2	brf2_ENSDARG00000002060	30	21	20	19	6	3	3	4	3	3	3	2	2	3	1	0.8	0.8	0.5
ENSDARG00000002071	adss	adss_ENSDARG00000002071	0.4	0.3	0.4	0.4	0.3	0.4	0.7	0.3	0.4	0.4	3	8	12	12	12	17	18	11
ENSDARG00000002077	mnat1	mnat1_ENSDARG00000002077	15	26	29	32	20	11	8	8	9	9	9	8	6	6	5	6	5	3
ENSDARG00000002082	csnk2a1	csnk2a1_ENSDARG00000002082	86	91	109	106	89	130	147	140	106	91	95	86	69	68	59	55	44	37
ENSDARG00000002084	lamb2	lamb2_ENSDARG00000002084	0	0	0.1	0	0	0	0	0	1	2	6	17	21	20	17	17	15	12
ENSDARG00000002097	si:dkeyp-52c3.7	si:dkeyp-52c3.7_ENSDARG00000002097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3
ENSDARG00000002127	stam	stam_ENSDARG00000002127	102	98	63	65	28	10	9	16	14	15	18	17	16	21	19	16	15	13
ENSDARG00000002128	cwf19l1	cwf19l1_ENSDARG00000002128	58	60	49	48	54	46	34	27	33	28	26	18	14	14	10	8	7	6
ENSDARG00000002131	celf2	celf2_ENSDARG00000002131	0.3	0.6	2	2	0.9	0.2	0.1	0	0.7	3	7	10	14	19	18	17	19	20
ENSDARG00000002165	psme1	psme1_ENSDARG00000002165	8	8	5	15	5	12	3	3	6	0.7	1	0.9	0	0.3	0.7	3	7	6
ENSDARG00000002167	cacnb1	cacnb1_ENSDARG00000002167	3	6	6	4	4	2	1	0.9	2	1	3	4	5	6	5	6	7	6
ENSDARG00000002168	tra2b	tra2b_ENSDARG00000002168	69	71	52	51	67	81	79	62	43	50	46	35	32	32	25	20	19	20
ENSDARG00000002172	aplnra	aplnra_ENSDARG00000002172	0	0	0	0	44	69	74	55	28	22	15	15	12	10	8	8	8	9
ENSDARG00000002174	itfg2	itfg2_ENSDARG00000002174	1	1	7	10	5	2	1	3	4	4	6	5	6	5	5	4	4	4
ENSDARG00000002184	igbp1	igbp1_ENSDARG00000002184	5	14	51	67	53	21	14	16	23	23	19	13	14	17	13	11	11	9
ENSDARG00000002190	chmp2bb	chmp2bb_ENSDARG00000002190	115	113	68	74	85	80	56	40	27	25	29	34	33	28	30	39	36	30
ENSDARG00000002192	aspn	aspn_ENSDARG00000002192	0	0	0	0	0	0	0	0	0	0	0	0.4	0.6	1	3	11	13	9
ENSDARG00000002193	rho	rho_ENSDARG00000002193	0	0	0	0	0	0	0	0	0	0	0	0.4	0.5	0.2	3	724	952	938
